player_id,player,preferred_foot,match_score,matched_name
8572.0,Karim Rekik,Left,100,Karim Rekik
8540.0,Kenan Kodro,Right,100,Kenan Kodro
6401.0,Kevin Gameiro,Right,96,Kévin Gameiro
22029.0,Kevin Vázquez Comesaña,Right,100,Kevin Vázquez Comesaña
3308.0,Kieran Trippier,Right,100,Kieran Trippier
11291.0,Laureano Antonio Villa Suárez,Right,100,Laureano Antonio Villa Suárez
5503.0,Lionel Andrés Messi Cuccittini,Left,100,Lionel Andrés Messi Cuccittini
7910.0,Lorenzo Jesús Morón García,Right,100,Lorenzo Jesús Morón García
7064.0,Lucas Ariel Boyé,Right,100,Lucas Ariel Boyé
4345.0,Lucas Ariel Ocampos,Right,100,Lucas Ariel Ocampos
6732.0,Lucas Pérez Martínez,Left,100,Lucas Pérez Martínez
24730.0,Lucas René Olaza Catrofe,Left,100,Lucas René Olaza Catrofe
12419.0,Lucas Torró Marset,Right,100,Lucas Torró Marset
5200.0,Lucas Vázquez Iglesias,Right,100,Lucas Vázquez Iglesias
5246.0,Luis Alberto Suárez Díaz,Right,100,Luis Alberto Suárez Díaz
24616.0,Luis Alfonso Espino García,Left,100,Luis Alfonso Espino García
24093.0,Luis Javier Suárez Charris,Right,100,Luis Javier Suárez Charris
24049.0,Luis Jesús Rioja González,Left,100,Luis Jesús Rioja González
34323.0,Luis Miguel Sánchez Benítez,Right,100,Luis Miguel Sánchez Benítez
24272.0,Luis Milla Manzanares,Right,100,Luis Milla Manzanares
5463.0,Luka Modrić,Right,100,Luka Modrić
20033.0,Luuk de Jong,Right,100,Luuk de Jong
6724.0,Manuel Agudo Durán,Right,100,Manuel Agudo Durán
6632.0,Manuel Alejandro García Sánchez,Left,100,Manuel Alejandro García Sánchez
23978.0,Manuel Javier Vallejo Galván,Right,100,Manuel Javier Vallejo Galván
33339.0,Manuel Sánchez De La Peña,Left,100,Manuel Sánchez de la Peña
6771.0,Manuel Trigueros Muñoz,Right,100,Manuel Trigueros Muñoz
7068.0,Marc Bartra Aregall,Right,100,Marc Bartra Aregall
17620.0,Marc Cucurella Saseta,Left,100,Marc Cucurella Saseta
20055.0,Marc-André ter Stegen,Right,100,Marc-André ter Stegen
5552.0,Marcelo Vieira da Silva Júnior,Left,100,Marcelo Vieira da Silva Júnior
5719.0,Marco Asensio Willemsen,Left,100,Marco Asensio Willemsen
31235.0,Marcos André de Sousa Mendonça,Right,100,Marcos André de Sousa Mendonça
19597.0,Marcos Javier Acuña,Left,100,Marcos Javier Acuña
6840.0,Marcos Llorente Moreno,Right,100,Marcos Llorente Moreno
24593.0,Marcos Mauro López Gutiérrez,Right,100,Marcos Mauro López Gutiérrez
3163.0,Mariano Díaz Mejía,Right,100,Mariano Díaz Mejía
6772.0,Mario Gaspar Pérez Martínez,Right,100,Mario Gaspar Pérez Martínez
6790.0,Mario Hermoso Canseco,Left,100,Mario Hermoso Canseco
4447.0,Martin Braithwaite Christensen,Right,100,Martin Braithwaite Christensen
